,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12520,Hackney,Entire home/apt,75,2,29,0.79,1,0
12521,Tower Hamlets,Private room,32,2,82,2.35,2,152
12522,Barnet,Private room,30,2,55,1.53,3,0
12523,Camden,Private room,60,1,8,0.39,1,154
12524,Hackney,Entire home/apt,70,3,1,0.03,1,0
12525,Wandsworth,Entire home/apt,100,3,2,0.06,1,0
12526,Haringey,Entire home/apt,60,2,31,0.86,1,0
12530,Hackney,Entire home/apt,70,3,25,0.69,1,230
12531,Tower Hamlets,Shared room,65,1,2,0.05,2,0
12534,Westminster,Entire home/apt,150,1,3,0.08,1,0
12535,Redbridge,Private room,20,2,73,1.97,2,289
12537,Lambeth,Private room,55,2,5,0.15,1,361
12538,Hackney,Private room,85,2,139,3.8,2,325
12540,Tower Hamlets,Entire home/apt,114,5,12,0.33,1,53
12541,Tower Hamlets,Private room,29,7,1,0.03,1,0
12544,Lewisham,Entire home/apt,120,3,28,0.76,1,0
12545,Southwark,Entire home/apt,120,2,28,0.82,1,20
12546,Lambeth,Entire home/apt,100,3,67,1.87,3,345
12552,Lewisham,Entire home/apt,90,1,3,0.08,1,0
12554,Hackney,Private room,98,2,92,2.84,3,162
12555,Lambeth,Entire home/apt,115,2,33,0.91,2,346
12557,Lewisham,Entire home/apt,80,2,59,1.63,1,304
12558,Hackney,Entire home/apt,55,2,4,0.11,2,0
12560,Tower Hamlets,Entire home/apt,75,2,26,0.71,1,1
12561,Kensington and Chelsea,Entire home/apt,290,3,9,0.46,1,292
12562,Richmond upon Thames,Entire home/apt,250,1,1,0.03,1,0
12565,Hackney,Private room,36,1,3,0.08,2,0
12566,Hackney,Private room,50,3,1,0.05,1,0
12567,Southwark,Private room,35,1,1,0.03,1,0
12568,Lambeth,Private room,60,2,118,3.22,2,110
12569,Sutton,Entire home/apt,55,7,21,0.86,1,270
12570,Lewisham,Entire home/apt,78,6,7,0.19,2,0
12571,Westminster,Private room,49,3,1,0.03,9,0
12572,Newham,Private room,40,1,24,1.61,1,343
12573,Wandsworth,Entire home/apt,99,3,6,0.17,1,0
12575,Hackney,Entire home/apt,160,2,8,0.22,1,6
12576,Tower Hamlets,Private room,45,1,1,0.03,1,0
12578,Lambeth,Entire home/apt,59,2,17,0.49,1,27
12581,Richmond upon Thames,Private room,40,2,17,0.48,1,209
12582,Hackney,Entire home/apt,110,6,4,0.12,1,2
12586,Wandsworth,Entire home/apt,95,1,14,0.38,2,357
12587,Barnet,Private room,35,7,8,0.23,1,0
12588,Hackney,Private room,25,5,3,0.08,1,144
12589,Greenwich,Private room,54,5,2,0.07,1,362
12590,Kensington and Chelsea,Private room,60,1,2,0.07,1,0
12591,Kensington and Chelsea,Private room,70,2,51,1.45,1,220
12593,Lewisham,Private room,33,2,84,2.28,2,47
12594,Southwark,Entire home/apt,110,3,11,0.3,1,0
12595,Wandsworth,Entire home/apt,81,3,9,0.35,1,51
12596,Newham,Private room,20,1,62,1.72,3,340
12599,Camden,Entire home/apt,140,1,6,0.16,8,83
